variant,model_type,report_dir,accuracy,macro_f1,top3_accuracy,top5_accuracy
lstm,lstm,reports,0.09090909090909091,0.05750975849417195,0.24675324675324675,0.33766233766233766
hybrid_lstm,hybrid,reports_hybrid,0.09090909090909091,0.05750975849417195,0.23376623376623376,0.33766233766233766
transformer,transformer,reports_transformer,0.06493506493506493,0.01934782608695652,0.12987012987012986,0.22077922077922077
sklearn,sklearn,reports_sklearn,0.07792207792207792,0.03961911467632291,0.15584415584415584,0.23376623376623376
transfer_lstm_auslan,lstm,reports_transfer_auslan,0.07792207792207792,0.04553055640012161,0.24675324675324675,0.35064935064935066
