fold,accuracy,macro_f1,model_path
1,0.9310344827586207,0.933112780938868,starter_nzsl/models_transformer_cv7_all/fold_1/best_transformer.pt
2,0.9448275862068966,0.9417516122321616,starter_nzsl/models_transformer_cv7_all/fold_2/best_transformer.pt
3,0.9517241379310345,0.9532139358226316,starter_nzsl/models_transformer_cv7_all/fold_3/best_transformer.pt
4,0.9172413793103448,0.9233365414143447,starter_nzsl/models_transformer_cv7_all/fold_4/best_transformer.pt
5,0.9241379310344827,0.9246425072512029,starter_nzsl/models_transformer_cv7_all/fold_5/best_transformer.pt
6,0.8896551724137931,0.894074886466191,starter_nzsl/models_transformer_cv7_all/fold_6/best_transformer.pt
7,0.9379310344827586,0.9359951642560339,starter_nzsl/models_transformer_cv7_all/fold_7/best_transformer.pt
